"p","U:0","U:1","U:2","grad(U):0","grad(U):1","grad(U):2","grad(U):3","grad(U):4","grad(U):5","grad(U):6","grad(U):7","grad(U):8","IntegrationTime","Vorticity:0","Vorticity:1","Vorticity:2","Rotation","AngularVelocity","Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2"
3.393894527107e-03,3.037905087695e-03,4.448247754535e-21,-3.819488429326e-23,3.094162791967e-02,4.530622988200e-20,-3.890219970008e-22,4.530622988200e-20,6.633958245922e-38,-5.696250231511e-40,-3.890219970008e-22,-5.696250231511e-40,4.890531640494e-42,0.000000000000e+00,5.627009275200e-17,2.775605470789e-17,-2.077156475734e-02,0.000000000000e+00,5.627035390812e-17,-1.463896695407e-18,1.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
3.393861697987e-03,3.039258066565e-03,4.448054287976e-21,-3.819322137447e-23,4.873052984476e-02,7.117435514152e-20,-6.111386464539e-22,9.772187033375e-20,-3.487174712026e-20,2.994263055858e-22,-8.390889033686e-22,2.994263055858e-22,-6.647523851196e-23,1.168983697684e-02,5.627009275200e-17,2.775602786584e-17,-2.072220544208e-02,6.577912594434e-19,5.627035316021e-17,-1.463896695407e-18,1.000000000000e+00,-6.577912594434e-19,3.551261397661e-05,5.198679824562e-23,-4.463846839169e-25
3.393810242414e-03,3.041506977752e-03,4.449076550735e-21,-3.820199981863e-23,6.593611836433e-02,9.641326414234e-20,-8.278525958265e-22,1.487040035528e-19,-7.006508009069e-20,6.016138515319e-22,-1.276847080504e-21,6.016138515319e-22,-1.335635039888e-22,2.337446957820e-02,5.627009275200e-17,2.775659542111e-17,-2.072291261399e-02,1.315289661746e-18,5.627035303634e-17,-1.463896695407e-18,1.000000000000e+00,-1.315289661746e-18,7.102522795321e-05,1.039472990241e-22,-8.925435563998e-25
3.393745981157e-03,3.044370561838e-03,4.451046355348e-21,-3.821891299643e-23,7.960775494576e-02,1.168613369057e-19,-1.003429960725e-21,1.947420071647e-19,-1.047999966742e-19,8.998651708875e-22,-1.672152373547e-21,8.998651708875e-22,-1.997779135311e-22,3.503085651326e-02,5.616167253475e-17,5.551214309576e-17,-2.074951687618e-02,1.970566776899e-18,5.616193302340e-17,-1.463896695407e-18,1.000000000000e+00,-1.970566776899e-18,1.064782118192e-04,1.557945004439e-22,-1.337729714083e-24
3.393682884052e-03,3.047144273296e-03,4.452929322152e-21,-3.823508148955e-23,7.840967923403e-02,1.158239619447e-19,-9.945227239848e-22,2.186690464881e-19,-1.391653703191e-19,1.194943578086e-21,-1.877602045525e-21,1.194943578086e-21,-2.652878892176e-22,4.665678977372e-02,5.421010862428e-19,9.940416696863e-22,-2.072970660938e-02,2.300186947006e-18,5.423611993040e-19,-1.463896695407e-18,1.000000000000e+00,-2.300186947006e-18,1.418718602508e-04,2.075294374906e-22,-1.781951785132e-24
3.393619554117e-03,3.049904946238e-03,4.454821578583e-21,-3.825132886875e-23,7.783225923777e-02,1.155828517208e-19,-9.924523490728e-22,2.428791237527e-19,-1.730496608896e-19,1.485891029958e-21,-2.085481863476e-21,1.485891029958e-21,-3.298807541484e-22,5.827214028979e-02,5.627009275200e-17,2.775656871121e-17,-2.064930267740e-02,2.630136734237e-18,5.627035173165e-17,-1.463896695407e-18,1.000000000000e+00,-2.630136734237e-18,1.772655086825e-04,2.592393076932e-22,-2.225958595761e-24
3.393555991352e-03,3.052649321035e-03,4.456723932433e-21,-3.826766460038e-23,7.742117345333e-02,1.155451374548e-19,-9.921285248266e-22,2.668066154405e-19,-2.063726706404e-19,1.772019185409e-21,-2.290935271499e-21,1.772019185409e-21,-3.934036712563e-22,6.985762246255e-02,5.627009275200e-17,2.775656679647e-17,-2.055349200517e-02,3.282055883413e-18,5.627035040824e-17,-1.463896695407e-18,1.000000000000e+00,-3.282055883413e-18,2.126001345459e-04,3.108383334722e-22,-2.669013645709e-24
3.393492428586e-03,3.055375767872e-03,4.458637191496e-21,-3.828409183987e-23,7.695852220058e-02,1.154659219864e-19,-9.914481606948e-22,2.903018018607e-19,-2.390817185062e-19,2.052875478094e-21,-2.492676666134e-21,2.052875478094e-21,-4.557562217033e-22,8.141345016136e-02,8.673617379884e-19,9.944041835105e-22,-2.046404336940e-02,3.612194143296e-18,8.676181540146e-19,-1.463896695407e-18,1.000000000000e+00,-3.612194143296e-18,2.478760143276e-04,3.623274993262e-22,-3.111125415229e-24
3.393428632990e-03,3.058078698814e-03,4.460554489527e-21,-3.830055378924e-23,7.643599063158e-02,1.152846918841e-19,-9.898921483365e-22,3.134398013526e-19,-2.711857096033e-19,2.328536244505e-21,-2.691351070544e-21,2.328536244505e-21,-5.169553186675e-22,9.295896586074e-02,5.637851296925e-17,2.775656723148e-17,-2.038061621469e-02,3.942663669625e-18,5.637876822394e-17,-1.463896695407e-18,1.000000000000e+00,-3.942663669625e-18,2.831519232132e-04,4.137930372183e-22,-3.553034250281e-24
3.393364837393e-03,3.060760907829e-03,4.462479461597e-21,-3.831708831381e-23,7.589469105005e-02,1.150661352566e-19,-9.880155429063e-22,3.361986677806e-19,-3.026843854378e-19,2.598999667106e-21,-2.886770268827e-21,2.598999667106e-21,-5.770005834954e-22,1.044751641670e-01,5.627009275200e-17,2.775656296682e-17,-2.029749969637e-02,4.591308443747e-18,5.627034685256e-17,-1.463896695407e-18,1.000000000000e+00,-4.591308443747e-18,3.183693625033e-04,4.651502045547e-22,-3.994012623895e-24
