"p","U:0","U:1","U:2","grad(U):0","grad(U):1","grad(U):2","grad(U):3","grad(U):4","grad(U):5","grad(U):6","grad(U):7","grad(U):8","IntegrationTime","Vorticity:0","Vorticity:1","Vorticity:2","Rotation","AngularVelocity","Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2"
3.393819322810e-03,3.202558960766e-03,-4.421287303558e-05,0.000000000000e+00,7.303861901164e-03,2.383522223681e-03,0.000000000000e+00,5.731214880943e-01,-2.599706873298e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.955763870385e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-5.697823195921e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,0.000000000000e+00,1.500000013039e-03,0.000000000000e+00
3.393722465262e-03,3.203487256542e-03,-4.400551915751e-05,0.000000000000e+00,2.545887604356e-02,3.943488933146e-03,0.000000000000e+00,5.708472132683e-01,-2.486032200977e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.739068572235e-06,2.219481113399e-02,0.000000000000e+00,0.000000000000e+00,-5.639962739625e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,7.108021964086e-05,1.499020727351e-03,0.000000000000e+00
3.393591614440e-03,3.205217188224e-03,-4.368394729681e-05,0.000000000000e+00,3.137256577611e-02,4.333822056651e-03,0.000000000000e+00,5.663485527039e-01,-2.268661512062e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-4.324699148128e-06,4.437391866938e-02,0.000000000000e+00,0.000000000000e+00,-5.589377424696e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.421307533747e-04,1.498048659414e-03,0.000000000000e+00
3.393461462110e-03,3.206899622455e-03,-4.337941936683e-05,0.000000000000e+00,3.109761141241e-02,4.334372468293e-03,0.000000000000e+00,5.617952346802e-01,-2.070177346468e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.946333436033e-06,6.653185905627e-02,0.000000000000e+00,0.000000000000e+00,-5.535500385478e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,2.131518122042e-04,1.497084274888e-03,0.000000000000e+00
3.393332473934e-03,3.208557143807e-03,-4.306086339056e-05,0.000000000000e+00,3.070339374244e-02,4.687681794167e-03,0.000000000000e+00,5.572629570961e-01,-1.921874820255e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.663627694550e-06,8.865993129422e-02,0.000000000000e+00,0.000000000000e+00,-5.479269590879e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,2.841143868864e-04,1.496128155850e-03,0.000000000000e+00
3.393204184249e-03,3.210203489289e-03,-4.270951831131e-05,0.000000000000e+00,3.039517067373e-02,5.260543432087e-03,0.000000000000e+00,5.527331829071e-01,-1.826870255172e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.482522288323e-06,1.107675558571e-01,0.000000000000e+00,0.000000000000e+00,-5.417237531185e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,3.550480178092e-04,1.495180185884e-03,0.000000000000e+00
3.393076360226e-03,3.211835632101e-03,-4.230993363308e-05,0.000000000000e+00,3.010158799589e-02,5.966023076326e-03,0.000000000000e+00,5.482183098793e-01,-1.777482102625e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.388374807400e-06,1.328459635683e-01,0.000000000000e+00,0.000000000000e+00,-5.358843318376e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,4.259242559783e-04,1.494241761975e-03,0.000000000000e+00
3.392949001864e-03,3.213448217139e-03,-4.186168735032e-05,0.000000000000e+00,2.979804389179e-02,6.724581588060e-03,0.000000000000e+00,5.436861515045e-01,-1.755005097948e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.345527602505e-06,1.549043221991e-01,0.000000000000e+00,0.000000000000e+00,-5.437521292555e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,4.967721179128e-04,1.493313582614e-03,0.000000000000e+00
3.392823506147e-03,3.215027041733e-03,-4.135852577747e-05,0.000000000000e+00,2.947498671710e-02,7.498525548726e-03,0.000000000000e+00,5.392335653305e-01,-1.751974690706e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.339750719533e-06,1.767177816596e-01,0.000000000000e+00,0.000000000000e+00,-5.380085989240e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,5.668686353602e-04,1.492406008765e-03,0.000000000000e+00
3.392698476091e-03,3.216595621780e-03,-4.080635699211e-05,0.000000000000e+00,2.912621758878e-02,8.277400396764e-03,0.000000000000e+00,5.348274707794e-01,-1.757635851391e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.350542328917e-06,1.985117969608e-01,0.000000000000e+00,0.000000000000e+00,-5.323092616058e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,6.369370385073e-04,1.491510774940e-03,0.000000000000e+00
3.392573678866e-03,3.218146972358e-03,-4.019536936539e-05,0.000000000000e+00,2.874341607094e-02,9.057928808033e-03,0.000000000000e+00,5.304917097092e-01,-1.770103466697e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.374309244464e-06,2.202865151247e-01,0.000000000000e+00,0.000000000000e+00,-5.261575822477e-01,0.000000000000e+00,0.000000000000e+00,1.860617211290e-10,1.489999952889e-08,1.000000000000e+00,7.069776183926e-04,1.490629045293e-03,0.000000000000e+00
3.392449580133e-03,3.219683654606e-03,-3.953374107368e-05,0.000000000000e+00,2.832986786962e-02,9.839436970651e-03,0.000000000000e+00,5.262273550034e-01,-1.786408596672e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.405391225897e-06,2.420335226254e-01,0.000000000000e+00,0.000000000000e+00,-5.206393439678e-01,0.000000000000e+00,0.000000000000e+00,3.168140052696e-10,2.580762375077e-08,1.000000000000e+00,7.769627845846e-04,1.489762216806e-03,0.000000000000e+00
3.392325714231e-03,3.221200313419e-03,-3.881532029482e-05,0.000000000000e+00,2.788165025413e-02,1.062286272645e-02,0.000000000000e+00,5.220523476601e-01,-1.806347514503e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.443400373726e-06,2.637616614583e-01,0.000000000000e+00,0.000000000000e+00,-5.147009105212e-01,0.000000000000e+00,0.000000000000e+00,4.013960145292e-10,3.331759153757e-08,1.000000000000e+00,8.469205931760e-04,1.488911104389e-03,0.000000000000e+00
3.392202313989e-03,3.222696948797e-03,-3.804433436017e-05,0.000000000000e+00,2.740046568215e-02,1.140766777098e-02,0.000000000000e+00,5.179698467255e-01,-1.828979700804e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.486543391773e-06,2.854627053272e-01,0.000000000000e+00,0.000000000000e+00,-5.093874086400e-01,0.000000000000e+00,0.000000000000e+00,4.307543513669e-10,3.649769965681e-08,1.000000000000e+00,9.168240940198e-04,1.488077221438e-03,0.000000000000e+00
3.392079146579e-03,3.224170999601e-03,-3.721786197275e-05,0.000000000000e+00,2.688363380730e-02,1.219331659377e-02,0.000000000000e+00,5.139923095703e-01,-1.854118192568e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.534464440236e-06,3.071453550658e-01,0.000000000000e+00,0.000000000000e+00,-5.036779870745e-01,0.000000000000e+00,0.000000000000e+00,4.549566473785e-10,3.942214160753e-08,1.000000000000e+00,9.867007611319e-04,1.487261382863e-03,0.000000000000e+00
3.391956677660e-03,3.225620137528e-03,-3.633773303591e-05,0.000000000000e+00,2.633154951036e-02,1.297773048282e-02,0.000000000000e+00,5.101260542870e-01,-1.881161704659e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.586017101043e-06,3.288015647024e-01,0.000000000000e+00,0.000000000000e+00,-4.986288479499e-01,0.000000000000e+00,0.000000000000e+00,5.034593447722e-10,4.470064846301e-08,1.000000000000e+00,1.056524226442e-03,1.486464985646e-03,0.000000000000e+00
3.391834208742e-03,3.227042499930e-03,-3.540314355632e-05,0.000000000000e+00,2.574320696294e-02,1.375826168805e-02,0.000000000000e+00,5.063790678978e-01,-1.909605110995e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.640238219305e-06,3.504399026575e-01,0.000000000000e+00,0.000000000000e+00,-4.931920470628e-01,0.000000000000e+00,0.000000000000e+00,5.168007181253e-10,4.711877509304e-08,1.000000000000e+00,1.126321381889e-03,1.485688844696e-03,0.000000000000e+00
