"p","U:0","U:1","U:2","grad(U):0","grad(U):1","grad(U):2","grad(U):3","grad(U):4","grad(U):5","grad(U):6","grad(U):7","grad(U):8","IntegrationTime","Vorticity:0","Vorticity:1","Vorticity:2","Rotation","AngularVelocity","Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2"
3.393794177100e-03,3.332496620715e-03,-3.874237518176e-05,0.000000000000e+00,-9.357525035739e-03,2.576811937615e-03,0.000000000000e+00,-1.157792955637e-01,2.253659442067e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.296101178625e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.204303393143e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,0.000000000000e+00,2.000000094995e-03,0.000000000000e+00
3.393649589270e-03,3.332627937198e-03,-3.842592559522e-05,0.000000000000e+00,-2.337598241866e-03,5.002329126000e-03,0.000000000000e+00,-1.177018508315e-01,2.242268994451e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.274388265912e-05,2.765626078337e-02,0.000000000000e+00,0.000000000000e+00,1.268894607497e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,9.216443868354e-05,1.998932100832e-03,0.000000000000e+00
3.393483813852e-03,3.332448424771e-03,-3.797834506258e-05,0.000000000000e+00,-3.404980525374e-03,5.009711720049e-03,0.000000000000e+00,-1.212391331792e-01,2.228445000947e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.248035475030e-05,5.530457259949e-02,0.000000000000e+00,0.000000000000e+00,1.318960119230e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.843060454121e-04,1.997875981033e-03,0.000000000000e+00
3.393318271264e-03,3.332276362926e-03,-3.754320641747e-05,0.000000000000e+00,-3.363408613950e-03,5.025854799896e-03,0.000000000000e+00,-1.247103586793e-01,2.212172001600e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.217014429742e-05,8.294077188359e-02,0.000000000000e+00,0.000000000000e+00,1.370783157446e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,2.764023083728e-04,1.996832434088e-03,0.000000000000e+00
3.393153427169e-03,3.332105465233e-03,-3.709361772053e-05,0.000000000000e+00,-3.344883676618e-03,5.302670411766e-03,0.000000000000e+00,-1.281030774117e-01,2.189300768077e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.173415800324e-05,1.105649668756e-01,0.000000000000e+00,0.000000000000e+00,1.424280442606e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,3.684538532980e-04,1.995801459998e-03,0.000000000000e+00
3.392989048734e-03,3.331942949444e-03,-3.660831498564e-05,0.000000000000e+00,-3.257452277467e-03,5.781830288470e-03,0.000000000000e+00,-1.314155012369e-01,2.157549187541e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.112888564123e-05,1.381773230188e-01,0.000000000000e+00,0.000000000000e+00,1.478974270477e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,4.604611895047e-04,1.994783757254e-03,0.000000000000e+00
3.392825368792e-03,3.331794869155e-03,-3.607180406107e-05,0.000000000000e+00,-3.105104900897e-03,6.396119482815e-03,0.000000000000e+00,-1.346450448036e-01,2.116525731981e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.034686207888e-05,1.657779430877e-01,0.000000000000e+00,0.000000000000e+00,1.533903555070e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,5.524249863811e-04,1.993780490011e-03,0.000000000000e+00
3.392661921680e-03,3.331665182486e-03,-3.547420419636e-05,0.000000000000e+00,-2.899436978623e-03,7.092909887433e-03,0.000000000000e+00,-1.377868205309e-01,2.066905982792e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.940097303712e-05,1.933668819070e-01,0.000000000000e+00,0.000000000000e+00,1.588323325246e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,6.443457677960e-04,1.992793520913e-03,0.000000000000e+00
3.392499173060e-03,3.331558778882e-03,-3.480931991362e-05,0.000000000000e+00,-2.652688650414e-03,7.840844802558e-03,0.000000000000e+00,-1.408349722624e-01,2.009675279260e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.830999412457e-05,2.209441530365e-01,0.000000000000e+00,0.000000000000e+00,1.637879225149e-01,0.000000000000e+00,0.000000000000e+00,1.556234463599e-10,1.490034852841e-08,1.000000000000e+00,7.362240576185e-04,1.991824246943e-03,0.000000000000e+00
3.392336657271e-03,3.331478219479e-03,-3.407190160942e-05,0.000000000000e+00,-2.375158946961e-03,8.624637499452e-03,0.000000000000e+00,-1.437828987837e-01,1.945673301816e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.708994336193e-05,2.485160301438e-01,0.000000000000e+00,0.000000000000e+00,1.690183755039e-01,0.000000000000e+00,0.000000000000e+00,2.154318028029e-10,2.107232305628e-08,1.000000000000e+00,8.280815090984e-04,1.990874530748e-03,0.000000000000e+00
