"p","U:0","U:1","U:2","grad(U):0","grad(U):1","grad(U):2","grad(U):3","grad(U):4","grad(U):5","grad(U):6","grad(U):7","grad(U):8","IntegrationTime","Vorticity:0","Vorticity:1","Vorticity:2","Rotation","AngularVelocity","Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2"
3.393779974431e-03,3.063450101763e-03,-2.410326123936e-05,0.000000000000e+00,-1.767912879586e-02,1.811178750359e-03,0.000000000000e+00,-9.601420760155e-01,3.313997015357e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.317398947431e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,9.811698160289e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,0.000000000000e+00,2.499999944121e-03,0.000000000000e+00
3.393725724891e-03,3.063399810344e-03,-2.403703001619e-05,0.000000000000e+00,-1.815900020301e-02,2.656707074493e-03,0.000000000000e+00,-9.601551890373e-01,3.305735439062e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.301650137175e-05,1.490258354186e-02,0.000000000000e+00,0.000000000000e+00,9.815251125907e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,4.565332346829e-05,2.499641152099e-03,0.000000000000e+00
3.393634455279e-03,3.062940901145e-03,-2.389031396888e-05,0.000000000000e+00,-2.076831832528e-02,3.453939221799e-03,0.000000000000e+00,-9.604261517525e-01,3.286009654403e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.264047260629e-05,2.980541331708e-02,0.000000000000e+00,0.000000000000e+00,9.842852925095e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,9.130666148849e-05,2.499283989891e-03,0.000000000000e+00
3.393549937755e-03,3.062244271860e-03,-2.373876122874e-05,0.000000000000e+00,-2.296057902277e-02,3.466090653092e-03,0.000000000000e+00,-9.607712030411e-01,3.263300657272e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.220758223208e-05,4.470806047765e-02,0.000000000000e+00,0.000000000000e+00,9.850645855759e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.369525998598e-04,2.498929155990e-03,0.000000000000e+00
3.393468447030e-03,3.061522729695e-03,-2.359711652389e-05,0.000000000000e+00,-2.318262681365e-02,3.258917946368e-03,0.000000000000e+00,-9.611439704895e-01,3.238983079791e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.174401642056e-05,5.961169793043e-02,0.000000000000e+00,0.000000000000e+00,9.857035219318e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,1.825911895139e-04,2.498576417565e-03,0.000000000000e+00
3.393386956304e-03,3.060821210966e-03,-2.346461405978e-05,0.000000000000e+00,-2.280736155808e-02,3.076461376622e-03,0.000000000000e+00,-9.615024924278e-01,3.212863206863e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.124610081315e-05,7.451646195616e-02,0.000000000000e+00,0.000000000000e+00,9.864011400982e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,2.282224595547e-04,2.498225541785e-03,0.000000000000e+00
3.393305465579e-03,3.060130169615e-03,-2.333908560104e-05,0.000000000000e+00,-2.255608700216e-02,2.937253564596e-03,0.000000000000e+00,-9.618387818336e-01,3.184824064374e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.071160169085e-05,8.942227222835e-02,0.000000000000e+00,0.000000000000e+00,9.871166176686e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,2.738464972936e-04,2.497876761481e-03,0.000000000000e+00
3.393223974854e-03,3.059447975829e-03,-2.321889769519e-05,0.000000000000e+00,-2.231223694980e-02,2.834749408066e-03,0.000000000000e+00,-9.621593356133e-01,3.154857829213e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.014035534463e-05,1.043290916165e-01,0.000000000000e+00,0.000000000000e+00,9.878532631360e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,3.194633172825e-04,2.497529610991e-03,0.000000000000e+00
3.393142716959e-03,3.058776725084e-03,-2.310240415682e-05,0.000000000000e+00,-2.203586138785e-02,2.769892802462e-03,0.000000000000e+00,-9.624637961388e-01,3.122936002910e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.953184154350e-05,1.192368935576e-01,0.000000000000e+00,0.000000000000e+00,9.886161930373e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,3.650729486253e-04,2.497184323147e-03,0.000000000000e+00
3.393061459064e-03,3.058117115870e-03,-2.298784602317e-05,0.000000000000e+00,-2.173900417984e-02,2.743826247752e-03,0.000000000000e+00,-9.627510905266e-01,3.089056536555e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,5.888600207982e-05,1.341456406538e-01,0.000000000000e+00,0.000000000000e+00,9.894008535323e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,4.106754786335e-04,2.496840665117e-03,0.000000000000e+00
