"alpha.water","p_rgh","p","U:0","U:1","U:2","gradU:0","gradU:1","gradU:2","gradU:3","gradU:4","gradU:5","gradU:6","gradU:7","gradU:8","ParticleId","ParticleSourceId","InjectedPointId","InjectionStepId","ErrorCode","ParticleAge","Vorticity","Rotation","AngularVelocity","vtkValidPointMask","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2","Time"
9.99905e-01,5.86896e+04,5.86896e+04,4.00672e+00,-4.79409e-02,-1.08420e-19,9.55925e+04,-1.15549e+03,0.00000e+00,4.05482e+04,-4.73797e+04,0.00000e+00,0.00000e+00,0.00000e+00,-9.03188e+01,0,0,0,0,0,0.00000e+00,5.80814e-11,0.00000e+00,5.77285e-11,1,-2.00000e-05,1.00000e-06,0.00000e+00,5.00000e-08
9.99910e-01,4.25316e+04,4.25316e+04,4.06704e+00,-4.88980e-02,0.00000e+00,9.79714e+04,-1.19627e+03,0.00000e+00,3.71063e+04,-4.85522e+04,0.00000e+00,0.00000e+00,0.00000e+00,-9.25540e+01,0,0,0,0,0,5.00000e-08,-2.30575e-11,0.00000e+00,-1.35520e-13,1,-1.97982e-05,9.97579e-07,-2.25875e-28,1.00000e-07
9.99913e-01,3.75140e+04,3.75140e+04,4.11829e+00,-4.98503e-02,2.71051e-20,1.00031e+05,-1.22822e+03,0.00000e+00,3.15998e+04,-4.94877e+04,0.00000e+00,0.00000e+00,0.00000e+00,-9.43373e+01,0,0,0,0,0,1.00000e-07,0.00000e+00,0.00000e+00,-1.79787e-16,1,-1.95935e-05,9.95111e-07,-3.38813e-28,1.50000e-07
9.99919e-01,3.51417e+04,3.51417e+04,4.16557e+00,-5.07152e-02,0.00000e+00,1.01926e+05,-1.28523e+03,0.00000e+00,2.64303e+04,-5.03661e+04,0.00000e+00,0.00000e+00,0.00000e+00,-9.60118e+01,0,0,0,0,0,1.50000e-07,1.04191e-10,0.00000e+00,1.74287e-11,1,-1.93864e-05,9.92596e-07,-2.11758e-28,2.00000e-07
9.99930e-01,3.37584e+04,3.37584e+04,4.21071e+00,-5.15353e-02,1.08420e-19,1.03774e+05,-1.37332e+03,1.77636e-15,2.20927e+04,-5.12402e+04,-5.68434e-14,0.00000e+00,-5.68434e-14,-9.76781e+01,0,0,0,0,0,2.00000e-07,-3.17120e-11,0.00000e+00,-1.23051e-13,1,-1.91770e-05,9.90040e-07,-8.89385e-28,2.50000e-07
9.99942e-01,3.28380e+04,3.28380e+04,4.25414e+00,-5.22947e-02,1.08420e-19,1.05525e+05,-1.43245e+03,0.00000e+00,1.85841e+04,-5.20596e+04,0.00000e+00,0.00000e+00,0.00000e+00,-9.92401e+01,0,0,0,0,0,2.50000e-07,0.00000e+00,0.00000e+00,-4.81611e-16,1,-1.89654e-05,9.87445e-07,-8.89385e-28,3.00000e-07
9.99940e-01,3.21285e+04,3.21285e+04,4.29642e+00,-5.29917e-02,0.00000e+00,1.07143e+05,-1.47035e+03,0.00000e+00,1.57874e+04,-5.28228e+04,0.00000e+00,0.00000e+00,0.00000e+00,-1.00695e+02,0,0,0,0,0,3.00000e-07,8.06889e-11,0.00000e+00,8.06827e-11,1,-1.87517e-05,9.84813e-07,-1.34114e-27,3.50000e-07
9.99948e-01,3.15132e+04,3.15132e+04,4.33777e+00,-5.36659e-02,0.00000e+00,1.08781e+05,-1.52335e+03,0.00000e+00,1.35110e+04,-5.36392e+04,0.00000e+00,0.00000e+00,0.00000e+00,-1.02251e+02,0,0,0,0,0,3.50000e-07,7.38930e-11,0.00000e+00,7.37922e-11,1,-1.85358e-05,9.82146e-07,-1.11526e-27,4.00000e-07
9.99954e-01,3.10086e+04,3.10086e+04,4.37829e+00,-5.42879e-02,1.08420e-19,1.10312e+05,-1.55135e+03,0.00000e+00,1.16196e+04,-5.43608e+04,1.13687e-13,0.00000e+00,1.13687e-13,-1.03627e+02,0,0,0,0,0,4.00000e-07,0.00000e+00,0.00000e+00,-3.16559e-16,1,-1.83179e-05,9.79447e-07,-1.62348e-27,4.50000e-07
9.99949e-01,3.06031e+04,3.06031e+04,4.41827e+00,-5.48684e-02,0.00000e+00,1.11751e+05,-1.59544e+03,1.77636e-15,1.00886e+04,-5.50498e+04,0.00000e+00,0.00000e+00,0.00000e+00,-1.04940e+02,0,0,0,0,0,4.50000e-07,0.00000e+00,0.00000e+00,-6.46568e-11,1,-1.80980e-05,9.76719e-07,-1.39760e-27,5.00000e-07
9.99966e-01,3.02638e+04,3.02639e+04,4.45771e+00,-5.54303e-02,1.08420e-19,1.13220e+05,-1.62411e+03,-4.44089e-16,8.83720e+03,-5.57923e+04,0.00000e+00,0.00000e+00,0.00000e+00,-1.06356e+02,0,0,0,0,0,5.00000e-07,-3.17564e-11,0.00000e+00,-6.06887e-11,1,-1.78761e-05,9.73961e-07,-1.67995e-27,5.50000e-07
9.99955e-01,2.99343e+04,2.99343e+04,4.49688e+00,-5.59523e-02,0.00000e+00,1.14560e+05,-1.63086e+03,0.00000e+00,7.69660e+03,-5.64044e+04,0.00000e+00,0.00000e+00,0.00000e+00,-1.07522e+02,0,0,0,0,0,5.50000e-07,0.00000e+00,0.00000e+00,-4.97614e-15,1,-1.76522e-05,9.71177e-07,-7.27037e-28,6.00000e-07
9.99959e-01,2.96630e+04,2.96630e+04,4.53556e+00,-5.64459e-02,0.00000e+00,1.15887e+05,-1.67190e+03,0.00000e+00,6.79634e+03,-5.70658e+04,0.00000e+00,0.00000e+00,0.00000e+00,-1.08783e+02,0,0,0,0,0,6.00000e-07,0.00000e+00,0.00000e+00,0.00000e+00,1,-1.74264e-05,9.68367e-07,-8.39974e-28,6.50000e-07
9.99972e-01,2.93934e+04,2.93934e+04,4.57411e+00,-5.69197e-02,1.08420e-19,1.17210e+05,-1.67402e+03,0.00000e+00,6.05467e+03,-5.77192e+04,0.00000e+00,0.00000e+00,0.00000e+00,-1.10029e+02,0,0,0,0,0,6.50000e-07,0.00000e+00,0.00000e+00,-1.76822e-16,1,-1.71987e-05,9.65533e-07,-8.96443e-28,7.00000e-07
9.99957e-01,2.91096e+04,2.91096e+04,4.61249e+00,-5.73569e-02,-5.42101e-20,1.18399e+05,-1.68523e+03,-1.77636e-15,5.32693e+03,-5.82708e+04,0.00000e+00,0.00000e+00,0.00000e+00,-1.11080e+02,0,0,0,0,0,7.00000e-07,3.70339e-11,0.00000e+00,6.98366e-11,1,-1.69690e-05,9.62676e-07,-2.18817e-28,7.50000e-07
9.99979e-01,2.88949e+04,2.88949e+04,4.65048e+00,-5.77682e-02,0.00000e+00,1.19642e+05,-1.70188e+03,3.55271e-15,4.75012e+03,-5.89201e+04,0.00000e+00,0.00000e+00,0.00000e+00,-1.12318e+02,0,0,0,0,0,7.50000e-07,-1.17398e-12,0.00000e+00,-1.17280e-12,1,-1.67375e-05,9.59797e-07,-1.67289e-27,8.00000e-07
9.99962e-01,2.86897e+04,2.86897e+04,4.68874e+00,-5.81559e-02,0.00000e+00,1.20759e+05,-1.68130e+03,0.00000e+00,4.20098e+03,-5.94227e+04,1.13687e-13,0.00000e+00,1.13687e-13,-1.13276e+02,0,0,0,0,0,8.00000e-07,7.95114e-11,0.00000e+00,7.94757e-11,1,-1.65040e-05,9.56899e-07,-5.43513e-28,8.50000e-07
9.99969e-01,2.84041e+04,2.84041e+04,4.72654e+00,-5.85161e-02,0.00000e+00,1.21872e+05,-1.70759e+03,3.55271e-15,3.74005e+03,-5.99841e+04,0.00000e+00,0.00000e+00,0.00000e+00,-1.14346e+02,0,0,0,0,0,8.50000e-07,1.04121e-11,0.00000e+00,-5.55828e-11,1,-1.62686e-05,9.53983e-07,-1.55995e-27,9.00000e-07
9.99967e-01,2.81821e+04,2.81821e+04,4.76459e+00,-5.88513e-02,0.00000e+00,1.22949e+05,-1.67716e+03,0.00000e+00,3.36279e+03,-6.04977e+04,0.00000e+00,0.00000e+00,0.00000e+00,-1.15325e+02,0,0,0,0,0,9.00000e-07,0.00000e+00,0.00000e+00,0.00000e+00,1,-1.60313e-05,9.51048e-07,-1.34819e-27,9.50000e-07
9.99962e-01,2.78783e+04,2.78783e+04,4.80244e+00,-5.91612e-02,0.00000e+00,1.23943e+05,-1.68345e+03,-8.88178e-16,2.96054e+03,-6.09838e+04,0.00000e+00,1.77636e-15,0.00000e+00,-1.16252e+02,0,0,0,0,0,9.50000e-07,0.00000e+00,0.00000e+00,4.80620e-15,1,-1.57921e-05,9.48098e-07,-7.83505e-28,1.00000e-06
9.99971e-01,2.76568e+04,2.76568e+04,4.84033e+00,-5.94430e-02,0.00000e+00,1.24959e+05,-1.66113e+03,0.00000e+00,2.67994e+03,-6.14913e+04,-1.13687e-13,0.00000e+00,-1.13687e-13,-1.17219e+02,0,0,0,0,0,1.00000e-06,0.00000e+00,0.00000e+00,-1.13743e-30,1,-1.55511e-05,9.45133e-07,-1.06938e-27,1.05000e-06
9.99960e-01,2.74343e+04,2.74343e+04,4.87833e+00,-5.97042e-02,-1.08420e-19,1.25855e+05,-1.64646e+03,0.00000e+00,2.35804e+03,-6.19181e+04,0.00000e+00,0.00000e+00,0.00000e+00,-1.18033e+02,0,0,0,0,0,1.05000e-06,0.00000e+00,0.00000e+00,7.82484e-17,1,-1.53081e-05,9.42154e-07,-9.56441e-28,1.10000e-06
9.99973e-01,2.71543e+04,2.71543e+04,4.91619e+00,-5.99364e-02,0.00000e+00,1.26793e+05,-1.62803e+03,0.00000e+00,2.13113e+03,-6.24013e+04,0.00000e+00,0.00000e+00,0.00000e+00,-1.18954e+02,0,0,0,0,0,1.10000e-06,0.00000e+00,0.00000e+00,-6.33755e-31,1,-1.50633e-05,9.39163e-07,-2.25523e-27,1.15000e-06
9.99960e-01,2.69139e+04,2.69139e+04,4.95433e+00,-6.01500e-02,-5.42101e-20,1.27610e+05,-1.59516e+03,0.00000e+00,1.87058e+03,-6.27788e+04,0.00000e+00,0.00000e+00,0.00000e+00,-1.19674e+02,0,0,0,0,0,1.15000e-06,1.69227e-11,0.00000e+00,8.88634e-13,1,-1.48165e-05,9.36161e-07,-1.57760e-27,1.20000e-06
9.99977e-01,2.66639e+04,2.66639e+04,4.99228e+00,-6.03328e-02,0.00000e+00,1.28459e+05,-1.57915e+03,3.55271e-15,1.71484e+03,-6.32277e+04,0.00000e+00,0.00000e+00,0.00000e+00,-1.20529e+02,0,0,0,0,0,1.20000e-06,0.00000e+00,0.00000e+00,5.00539e-15,1,-1.45678e-05,9.33149e-07,-2.48110e-27,1.25000e-06
9.99961e-01,2.63831e+04,2.63831e+04,5.03059e+00,-6.05009e-02,0.00000e+00,1.29195e+05,-1.53649e+03,0.00000e+00,1.53339e+03,-6.35572e+04,0.00000e+00,0.00000e+00,0.00000e+00,-1.21158e+02,0,0,0,0,0,1.25000e-06,-6.80661e-11,0.00000e+00,-8.42453e-11,1,-1.43173e-05,9.30128e-07,-3.15873e-27,1.30000e-06
9.99979e-01,2.60996e+04,2.60996e+04,5.06874e+00,-6.06343e-02,0.00000e+00,1.29942e+05,-1.51685e+03,0.00000e+00,1.38832e+03,-6.39613e+04,0.00000e+00,0.00000e+00,0.00000e+00,-1.21928e+02,0,0,0,0,0,1.30000e-06,-1.16754e-10,0.00000e+00,-8.40239e-11,1,-1.40648e-05,9.27099e-07,-4.18928e-27,1.35000e-06
9.99965e-01,2.58596e+04,2.58596e+04,5.10725e+00,-6.07542e-02,0.00000e+00,1.30596e+05,-1.45356e+03,-1.77636e-15,1.20912e+03,-6.42496e+04,0.00000e+00,0.00000e+00,0.00000e+00,-1.22478e+02,0,0,0,0,0,1.35000e-06,-5.86734e-11,0.00000e+00,-9.63750e-12,1,-1.38104e-05,9.24064e-07,-3.51166e-27,1.40000e-06
9.99983e-01,2.55672e+04,2.55672e+04,5.14566e+00,-6.08387e-02,0.00000e+00,1.31251e+05,-1.42981e+03,0.00000e+00,1.10547e+03,-6.46058e+04,0.00000e+00,0.00000e+00,0.00000e+00,-1.23157e+02,0,0,0,0,0,1.40000e-06,0.00000e+00,0.00000e+00,5.04460e-15,1,-1.35541e-05,9.21024e-07,-4.71162e-27,1.45000e-06
9.99971e-01,2.52912e+04,2.52912e+04,5.18441e+00,-6.09121e-02,-5.42101e-20,1.31814e+05,-1.36177e+03,-1.77636e-15,9.86409e+02,-6.48547e+04,0.00000e+00,0.00000e+00,0.00000e+00,-1.23631e+02,0,0,0,0,0,1.45000e-06,0.00000e+00,0.00000e+00,3.25431e-11,1,-1.32958e-05,9.17981e-07,-5.61512e-27,1.50000e-06
9.99984e-01,2.50090e+04,2.50090e+04,5.22309e+00,-6.09479e-02,0.00000e+00,1.32374e+05,-1.32983e+03,0.00000e+00,8.98948e+02,-6.51521e+04,0.00000e+00,0.00000e+00,0.00000e+00,-1.24198e+02,0,0,0,0,0,1.50000e-06,-8.68515e-11,0.00000e+00,-8.68456e-11,1,-1.30356e-05,9.14934e-07,-6.12334e-27,1.55000e-06
9.99976e-01,2.46997e+04,2.46997e+04,5.26208e+00,-6.09729e-02,0.00000e+00,1.32839e+05,-1.25234e+03,1.77636e-15,8.14240e+02,-6.53645e+04,5.68434e-14,0.00000e+00,5.68434e-14,-1.24603e+02,0,0,0,0,0,1.55000e-06,-4.38599e-11,0.00000e+00,-1.15496e-11,1,-1.27735e-05,9.11886e-07,-5.67159e-27,1.60000e-06
9.99982e-01,2.44252e+04,2.44252e+04,5.30107e+00,-6.09622e-02,-1.08420e-19,1.33294e+05,-1.21082e+03,0.00000e+00,7.53728e+02,-6.55989e+04,0.00000e+00,0.00000e+00,0.00000e+00,-1.25050e+02,0,0,0,0,0,1.60000e-06,-8.74342e-11,0.00000e+00,-8.74283e-11,1,-1.25094e-05,9.08837e-07,-7.93035e-27,1.65000e-06
9.99981e-01,2.41169e+04,2.41169e+04,5.34032e+00,-6.09334e-02,0.00000e+00,1.33663e+05,-1.12958e+03,0.00000e+00,6.95208e+02,-6.57781e+04,0.00000e+00,0.00000e+00,0.00000e+00,-1.25391e+02,0,0,0,0,0,1.65000e-06,0.00000e+00,0.00000e+00,-5.07867e-15,1,-1.22434e-05,9.05789e-07,-8.38210e-27,1.70000e-06
