"alpha.water","p_rgh","p","U:0","U:1","U:2","gradU:0","gradU:1","gradU:2","gradU:3","gradU:4","gradU:5","gradU:6","gradU:7","gradU:8","ParticleId","ParticleSourceId","InjectedPointId","InjectionStepId","ErrorCode","ParticleAge","Vorticity","Rotation","AngularVelocity","vtkValidPointMask","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2","Time"
1.00001e+00,8.58610e+04,8.58613e+04,2.07264e+00,-5.47093e-01,0.00000e+00,3.60022e+04,-1.47902e+04,-2.84217e-14,-1.66431e+04,-1.57043e+04,0.00000e+00,0.00000e+00,0.00000e+00,-2.99368e+01,7,0,7,0,0,0.00000e+00,-2.35447e-11,-2.70394e-19,-1.08158e-11,1,-4.50000e-05,2.70000e-05,0.00000e+00,5.00000e-08
1.00001e+00,6.24945e+04,6.24947e+04,2.09224e+00,-5.54159e-01,0.00000e+00,3.64915e+04,-1.50279e+04,0.00000e+00,-1.68913e+04,-1.59129e+04,1.42109e-14,0.00000e+00,1.42109e-14,-3.03343e+01,7,0,7,0,0,5.00000e-08,1.14535e-11,1.06360e-19,2.58859e-11,1,-4.48959e-05,2.69725e-05,7.22801e-27,1.00000e-07
1.00001e+00,5.45473e+04,5.45475e+04,2.10794e+00,-5.59446e-01,4.33681e-19,3.68691e+04,-1.52087e+04,-1.42109e-14,-1.70792e+04,-1.60728e+04,1.42109e-14,0.00000e+00,1.42109e-14,-3.06392e+01,7,0,7,0,0,1.00000e-07,2.16222e-13,3.68009e-19,-1.54200e-11,1,-4.47909e-05,2.69446e-05,7.22801e-27,1.50000e-07
1.00001e+00,5.06448e+04,5.06451e+04,2.12155e+00,-5.63971e-01,-4.33681e-19,3.71978e+04,-1.53686e+04,0.00000e+00,-1.72442e+04,-1.62119e+04,0.00000e+00,2.84217e-14,0.00000e+00,-3.09044e+01,7,0,7,0,0,1.50000e-07,-1.18089e-11,-4.52461e-19,-1.73988e-11,1,-4.46851e-05,2.69165e-05,2.43945e-26,2.00000e-07
1.00001e+00,4.83412e+04,4.83415e+04,2.13391e+00,-5.68072e-01,0.00000e+00,3.75013e+04,-1.55162e+04,1.42109e-14,-1.73960e+04,-1.63409e+04,-2.13163e-14,-7.10543e-15,-2.13163e-14,-3.11503e+01,7,0,7,0,0,2.00000e-07,-1.11798e-11,-8.41326e-19,1.84423e-12,1,-4.45788e-05,2.68882e-05,1.53595e-26,2.50000e-07
1.00001e+00,4.68035e+04,4.68038e+04,2.14547e+00,-5.71892e-01,-1.08420e-18,3.77889e+04,-1.56551e+04,-7.10543e-15,-1.75383e+04,-1.64638e+04,-7.10543e-15,3.55271e-14,-7.10543e-15,-3.13846e+01,7,0,7,0,0,2.50000e-07,1.75775e-12,-1.18376e-18,-1.55417e-11,1,-4.44718e-05,2.68597e-05,1.35525e-26,3.00000e-07
1.00001e+00,4.56509e+04,4.56511e+04,2.15646e+00,-5.75509e-01,-7.58942e-19,3.80650e+04,-1.57871e+04,-3.55271e-15,-1.76732e+04,-1.65825e+04,2.84217e-14,0.00000e+00,2.84217e-14,-3.16109e+01,7,0,7,0,0,3.00000e-07,-4.16648e-12,-1.50618e-18,2.64488e-12,1,-4.43642e-05,2.68311e-05,7.67977e-27,3.50000e-07
1.00001e+00,4.47082e+04,4.47084e+04,2.16704e+00,-5.78970e-01,-8.67362e-19,3.83330e+04,-1.59138e+04,2.84217e-14,-1.78025e+04,-1.66985e+04,-2.84217e-14,-2.84217e-14,-2.84217e-14,-3.18319e+01,7,0,7,0,0,3.50000e-07,-2.32238e-11,-1.95204e-18,-2.04794e-11,1,-4.42561e-05,2.68022e-05,-8.63974e-27,4.00000e-07
1.00001e+00,4.39496e+04,4.39498e+04,2.17738e+00,-5.82325e-01,0.00000e+00,3.85972e+04,-1.60371e+04,-1.42109e-14,-1.79287e+04,-1.68133e+04,0.00000e+00,0.00000e+00,0.00000e+00,-3.20508e+01,7,0,7,0,0,4.00000e-07,1.21904e-11,-1.77895e-18,2.74030e-11,1,-4.41475e-05,2.67732e-05,-1.22537e-26,4.50000e-07
1.00001e+00,4.33557e+04,4.33559e+04,2.18744e+00,-5.85572e-01,-4.33681e-19,3.88557e+04,-1.61567e+04,1.42109e-14,-1.80509e+04,-1.69261e+04,1.42109e-14,2.84217e-14,1.42109e-14,-3.22658e+01,7,0,7,0,0,4.50000e-07,-2.35177e-11,-1.00564e-18,3.52934e-12,1,-4.40384e-05,2.67440e-05,-8.63974e-27,5.00000e-07
1.00001e+00,4.28725e+04,4.28727e+04,2.19729e+00,-5.88728e-01,0.00000e+00,3.91094e+04,-1.62731e+04,0.00000e+00,-1.81701e+04,-1.70372e+04,1.42109e-14,1.42109e-14,1.42109e-14,-3.24776e+01,7,0,7,0,0,5.00000e-07,0.00000e+00,-6.09481e-19,1.23172e-11,1,-4.39288e-05,2.67146e-05,-1.67713e-26,5.50000e-07
1.00001e+00,4.24285e+04,4.24288e+04,2.20696e+00,-5.91807e-01,0.00000e+00,3.93589e+04,-1.63868e+04,-7.10543e-15,-1.82871e+04,-1.71472e+04,2.84217e-14,-1.42109e-14,2.84217e-14,-3.26873e+01,7,0,7,0,0,5.50000e-07,-1.86936e-11,-3.81350e-19,-3.19190e-12,1,-4.38187e-05,2.66851e-05,-1.76748e-26,6.00000e-07
1.00001e+00,4.20834e+04,4.20837e+04,2.21646e+00,-5.94816e-01,0.00000e+00,3.96048e+04,-1.64978e+04,7.10543e-15,-1.84024e+04,-1.72554e+04,-7.10543e-15,-2.13163e-14,-7.10543e-15,-3.28936e+01,7,0,7,0,0,6.00000e-07,2.33000e-11,-2.90111e-19,6.84145e-12,1,-4.37081e-05,2.66554e-05,-2.17405e-26,6.50000e-07
1.00001e+00,4.17570e+04,4.17573e+04,2.22584e+00,-5.97765e-01,-8.67362e-19,3.98472e+04,-1.66066e+04,2.84217e-14,-1.85172e+04,-1.73621e+04,3.55271e-15,2.84217e-14,3.55271e-15,-3.30971e+01,7,0,7,0,0,6.50000e-07,8.09646e-13,-5.27742e-20,2.65202e-12,1,-4.35970e-05,2.66256e-05,-2.37734e-26,7.00000e-07
1.00001e+00,4.14364e+04,4.14367e+04,2.23513e+00,-6.00669e-01,0.00000e+00,4.00873e+04,-1.67135e+04,2.84217e-14,-1.86336e+04,-1.74674e+04,2.84217e-14,2.84217e-14,2.84217e-14,-3.32978e+01,7,0,7,0,0,7.00000e-07,6.69390e-13,-6.46544e-19,-2.64028e-11,1,-4.34855e-05,2.65957e-05,-3.99235e-26,7.50000e-07
