"alpha.water","p_rgh","p","U:0","U:1","U:2","gradU:0","gradU:1","gradU:2","gradU:3","gradU:4","gradU:5","gradU:6","gradU:7","gradU:8","ParticleId","ParticleSourceId","InjectedPointId","InjectionStepId","ErrorCode","ParticleAge","Vorticity","Rotation","AngularVelocity","vtkValidPointMask","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2","Time"
9.99976e-01,8.40500e+04,8.40502e+04,2.23315e+00,-3.39076e-01,0.00000e+00,4.21316e+04,-9.64900e+03,1.42109e-14,-1.08072e+04,-2.02087e+04,2.84217e-14,0.00000e+00,2.84217e-14,-3.85235e+01,4,0,4,0,0,0.00000e+00,0.00000e+00,-4.99136e-21,-1.99655e-13,1,-4.50000e-05,1.55000e-05,0.00000e+00,5.00000e-08
9.99976e-01,6.12924e+04,6.12926e+04,2.25537e+00,-3.43577e-01,-4.33681e-19,4.27312e+04,-9.81357e+03,-1.42109e-14,-1.09772e+04,-2.04966e+04,0.00000e+00,1.42109e-14,0.00000e+00,-3.90723e+01,4,0,4,0,0,5.00000e-08,1.28404e-11,2.12005e-20,1.24733e-12,1,-4.48878e-05,1.54829e-05,-2.71051e-27,1.00000e-07
9.99976e-01,5.35795e+04,5.35796e+04,2.27311e+00,-3.46975e-01,0.00000e+00,4.31966e+04,-9.94008e+03,0.00000e+00,-1.11073e+04,-2.07178e+04,2.84217e-14,1.42109e-14,2.84217e-14,-3.94938e+01,4,0,4,0,0,1.00000e-07,3.35454e-11,9.08512e-19,3.42451e-11,1,-4.47746e-05,1.54657e-05,1.80700e-27,1.50000e-07
9.99976e-01,4.97873e+04,4.97875e+04,2.28853e+00,-3.49893e-01,-2.16840e-19,4.36036e+04,-1.00515e+04,7.10543e-15,-1.12222e+04,-2.09111e+04,-2.84217e-14,0.00000e+00,-2.84217e-14,-3.98624e+01,4,0,4,0,0,1.50000e-07,-1.26245e-11,1.96972e-18,8.20317e-12,1,-4.46605e-05,1.54482e-05,-7.22801e-27,2.00000e-07
9.99976e-01,4.75509e+04,4.75510e+04,2.30259e+00,-3.52537e-01,0.00000e+00,4.39792e+04,-1.01512e+04,0.00000e+00,-1.13323e+04,-2.10891e+04,-4.26326e-14,7.10543e-15,-4.26326e-14,-4.02017e+01,4,0,4,0,0,2.00000e-07,3.57607e-11,2.79521e-18,2.48166e-11,1,-4.45458e-05,1.54307e-05,-7.67977e-27,2.50000e-07
9.99977e-01,4.60617e+04,4.60618e+04,2.31574e+00,-3.54994e-01,4.33681e-19,4.43360e+04,-1.02430e+04,-1.77636e-14,-1.14360e+04,-2.12591e+04,-3.55271e-14,1.42109e-14,-3.55271e-14,-4.05257e+01,4,0,4,0,0,2.50000e-07,-4.20975e-11,2.79433e-18,-2.48522e-11,1,-4.44303e-05,1.54130e-05,-1.24232e-26,3.00000e-07
9.99977e-01,4.49447e+04,4.49449e+04,2.32824e+00,-3.57316e-01,-2.71051e-20,4.46774e+04,-1.03305e+04,1.42109e-14,-1.15339e+04,-2.14221e+04,2.66454e-14,-1.42109e-14,2.66454e-14,-4.08366e+01,4,0,4,0,0,3.00000e-07,-2.74453e-11,1.90293e-18,-1.08036e-11,1,-4.43142e-05,1.53952e-05,-6.66333e-27,3.50000e-07
9.99977e-01,4.40285e+04,4.40286e+04,2.34034e+00,-3.59544e-01,4.33681e-19,4.50090e+04,-1.04165e+04,-1.42109e-14,-1.16214e+04,-2.15818e+04,-2.84217e-14,-1.42109e-14,-2.84217e-14,-4.11409e+01,4,0,4,0,0,3.50000e-07,-2.06704e-11,1.12083e-18,-2.04804e-11,1,-4.41975e-05,1.53773e-05,-4.88456e-27,4.00000e-07
9.99976e-01,4.32927e+04,4.32928e+04,2.35211e+00,-3.61691e-01,0.00000e+00,4.53368e+04,-1.05047e+04,1.42109e-14,-1.16949e+04,-2.17431e+04,2.84217e-14,1.42109e-14,2.84217e-14,-4.14484e+01,4,0,4,0,0,4.00000e-07,2.66738e-11,8.22778e-19,8.55824e-12,1,-4.40802e-05,1.53592e-05,-2.17405e-27,4.50000e-07
9.99976e-01,4.27173e+04,4.27175e+04,2.36357e+00,-3.63768e-01,4.33681e-19,4.56515e+04,-1.05875e+04,-1.42109e-14,-1.17682e+04,-2.18949e+04,2.84217e-14,-1.42109e-14,2.84217e-14,-4.17377e+01,4,0,4,0,0,4.50000e-07,3.06322e-12,1.21632e-18,7.18354e-12,1,-4.39623e-05,1.53411e-05,-2.17405e-27,5.00000e-07
9.99976e-01,4.22499e+04,4.22500e+04,2.37477e+00,-3.65783e-01,0.00000e+00,4.59570e+04,-1.06660e+04,-7.10543e-15,-1.18408e+04,-2.20417e+04,1.42109e-14,2.13163e-14,1.42109e-14,-4.20176e+01,4,0,4,0,0,5.00000e-07,1.05625e-11,1.69533e-18,1.19767e-11,1,-4.38438e-05,1.53229e-05,5.50571e-27,5.50000e-07
9.99976e-01,4.18197e+04,4.18199e+04,2.38576e+00,-3.67744e-01,0.00000e+00,4.62574e+04,-1.07421e+04,-3.55271e-15,-1.19089e+04,-2.21870e+04,-1.42109e-14,0.00000e+00,-1.42109e-14,-4.22947e+01,4,0,4,0,0,5.50000e-07,-1.55764e-11,1.93502e-18,-2.38905e-12,1,-4.37248e-05,1.53045e-05,9.57147e-27,6.00000e-07
9.99976e-01,4.14855e+04,4.14856e+04,2.39658e+00,-3.69660e-01,-5.42101e-20,4.65534e+04,-1.08155e+04,-1.59872e-14,-1.19739e+04,-2.23306e+04,2.48690e-14,1.42109e-14,2.48690e-14,-4.25682e+01,4,0,4,0,0,6.00000e-07,-3.07220e-11,1.54684e-18,-1.31382e-11,1,-4.36053e-05,1.52861e-05,1.11526e-26,6.50000e-07
9.99976e-01,4.11687e+04,4.11689e+04,2.40726e+00,-3.71540e-01,-8.67362e-19,4.68459e+04,-1.08856e+04,-1.42109e-14,-1.20398e+04,-2.24713e+04,2.84217e-14,0.00000e+00,2.84217e-14,-4.28366e+01,4,0,4,0,0,6.50000e-07,6.29367e-11,1.70418e-18,1.94318e-11,1,-4.34852e-05,1.52676e-05,1.72512e-26,7.00000e-07
9.99976e-01,4.08564e+04,4.08566e+04,2.41791e+00,-3.73398e-01,-4.33681e-19,4.71367e+04,-1.09515e+04,-1.42109e-14,-1.21125e+04,-2.26083e+04,0.00000e+00,1.42109e-14,0.00000e+00,-4.30977e+01,4,0,4,0,0,7.00000e-07,1.43796e-11,2.24876e-18,2.35134e-12,1,-4.33645e-05,1.52489e-05,2.26722e-26,7.50000e-07
9.99976e-01,4.06405e+04,4.06407e+04,2.42844e+00,-3.75221e-01,-8.67362e-19,4.74234e+04,-1.10157e+04,0.00000e+00,-1.21836e+04,-2.27433e+04,0.00000e+00,0.00000e+00,0.00000e+00,-4.33550e+01,4,0,4,0,0,7.50000e-07,-6.81298e-12,2.23432e-18,-2.92864e-12,1,-4.32434e-05,1.52302e-05,2.17687e-26,8.00000e-07
9.99976e-01,4.04468e+04,4.04469e+04,2.43887e+00,-3.77018e-01,-4.33681e-19,4.77071e+04,-1.10789e+04,-2.13163e-14,-1.22530e+04,-2.28769e+04,0.00000e+00,-7.10543e-15,0.00000e+00,-4.36098e+01,4,0,4,0,0,8.00000e-07,3.54784e-11,3.38668e-18,4.90230e-11,1,-4.31217e-05,1.52114e-05,2.08652e-26,8.50000e-07
9.99976e-01,4.01669e+04,4.01671e+04,2.44921e+00,-3.78787e-01,4.33681e-19,4.79871e+04,-1.11408e+04,7.10543e-15,-1.23175e+04,-2.30082e+04,-1.42109e-14,7.10543e-15,-1.42109e-14,-4.38601e+01,4,0,4,0,0,8.50000e-07,-1.88108e-11,3.99485e-18,-2.46963e-11,1,-4.29995e-05,1.51925e-05,1.58960e-26,9.00000e-07
9.99976e-01,3.99791e+04,3.99792e+04,2.45947e+00,-3.80532e-01,-1.08420e-19,4.82641e+04,-1.12016e+04,0.00000e+00,-1.23798e+04,-2.31383e+04,7.10543e-15,-3.55271e-15,7.10543e-15,-4.41080e+01,4,0,4,0,0,9.00000e-07,-8.46820e-12,3.79059e-18,1.65258e-11,1,-4.28768e-05,1.51735e-05,1.47666e-26,9.50000e-07
9.99976e-01,3.97122e+04,3.97123e+04,2.46966e+00,-3.82257e-01,0.00000e+00,4.85399e+04,-1.12618e+04,0.00000e+00,-1.24443e+04,-2.32685e+04,0.00000e+00,0.00000e+00,0.00000e+00,-4.43562e+01,4,0,4,0,0,9.50000e-07,-2.09742e-11,3.04494e-18,-4.63520e-11,1,-4.27535e-05,1.51545e-05,1.88606e-26,1.00000e-06
9.99976e-01,3.95390e+04,3.95392e+04,2.47992e+00,-3.83974e-01,4.33681e-19,4.88252e+04,-1.13273e+04,0.00000e+00,-1.25162e+04,-2.34066e+04,-2.84217e-14,0.00000e+00,-2.84217e-14,-4.46195e+01,4,0,4,0,0,1.00000e-06,-2.10008e-11,2.01789e-18,5.27015e-12,1,-4.26298e-05,1.51353e-05,3.15096e-26,1.05000e-06
9.99977e-01,3.93764e+04,3.93766e+04,2.49012e+00,-3.85673e-01,-4.33681e-19,4.91100e+04,-1.13916e+04,1.42109e-14,-1.25902e+04,-2.35452e+04,0.00000e+00,0.00000e+00,0.00000e+00,-4.48837e+01,4,0,4,0,0,1.05000e-06,-4.73251e-13,1.85713e-18,-1.17006e-11,1,-4.25056e-05,1.51161e-05,3.24131e-26,1.10000e-06
9.99977e-01,3.91628e+04,3.91629e+04,2.50028e+00,-3.87355e-01,-4.33681e-19,4.93945e+04,-1.14544e+04,-2.13163e-14,-1.26647e+04,-2.36846e+04,2.84217e-14,-1.42109e-14,2.84217e-14,-4.51494e+01,4,0,4,0,0,1.10000e-06,-8.33007e-12,1.84778e-18,1.13266e-11,1,-4.23808e-05,1.50967e-05,3.78341e-26,1.15000e-06
9.99977e-01,3.89957e+04,3.89958e+04,2.51038e+00,-3.89022e-01,-2.16840e-19,4.96788e+04,-1.15156e+04,-1.42109e-14,-1.27383e+04,-2.38245e+04,0.00000e+00,-7.10543e-15,0.00000e+00,-4.54161e+01,4,0,4,0,0,1.15000e-06,2.87418e-11,2.85322e-18,2.88911e-11,1,-4.22555e-05,1.50773e-05,3.64789e-26,1.20000e-06
9.99978e-01,3.88265e+04,3.88266e+04,2.52045e+00,-3.90676e-01,5.42101e-19,4.99631e+04,-1.15748e+04,0.00000e+00,-1.28104e+04,-2.39656e+04,7.10543e-15,0.00000e+00,7.10543e-15,-4.56851e+01,4,0,4,0,0,1.20000e-06,3.59842e-11,3.27175e-18,-1.21498e-11,1,-4.21298e-05,1.50578e-05,3.39943e-26,1.25000e-06
9.99978e-01,3.86333e+04,3.86335e+04,2.53051e+00,-3.92320e-01,-8.67362e-19,5.02489e+04,-1.16344e+04,-2.84217e-14,-1.28780e+04,-2.41091e+04,5.68434e-14,0.00000e+00,5.68434e-14,-4.59586e+01,4,0,4,0,0,1.25000e-06,0.00000e+00,2.31943e-18,-2.59428e-11,1,-4.20035e-05,1.50383e-05,3.23284e-26,1.30000e-06
9.99978e-01,3.84467e+04,3.84469e+04,2.54066e+00,-3.93970e-01,-4.33681e-19,5.05413e+04,-1.17002e+04,0.00000e+00,-1.29317e+04,-2.42594e+04,2.84217e-14,0.00000e+00,2.84217e-14,-4.62451e+01,4,0,4,0,0,1.30000e-06,3.68317e-11,1.96428e-18,1.17367e-11,1,-4.18767e-05,1.50186e-05,3.23284e-26,1.35000e-06
9.99978e-01,3.83114e+04,3.83116e+04,2.55079e+00,-3.95607e-01,0.00000e+00,5.08341e+04,-1.17656e+04,0.00000e+00,-1.29842e+04,-2.44099e+04,0.00000e+00,0.00000e+00,0.00000e+00,-4.65320e+01,4,0,4,0,0,1.35000e-06,5.45902e-13,2.55168e-18,1.17593e-11,1,-4.17494e-05,1.49989e-05,3.41354e-26,1.40000e-06
9.99979e-01,3.81232e+04,3.81233e+04,2.56090e+00,-3.97231e-01,-4.33681e-19,5.11269e+04,-1.18307e+04,0.00000e+00,-1.30343e+04,-2.45605e+04,-2.84217e-14,1.42109e-14,-2.84217e-14,-4.68192e+01,4,0,4,0,0,1.40000e-06,2.26507e-11,2.88287e-18,1.48852e-12,1,-4.16216e-05,1.49791e-05,3.77494e-26,1.45000e-06
9.99979e-01,3.79562e+04,3.79564e+04,2.57099e+00,-3.98845e-01,-4.33681e-19,5.14183e+04,-1.18952e+04,-7.10543e-15,-1.30830e+04,-2.47099e+04,-1.42109e-14,1.42109e-14,-1.42109e-14,-4.71039e+01,4,0,4,0,0,1.45000e-06,3.07244e-11,3.17427e-18,1.01672e-11,1,-4.14933e-05,1.49592e-05,4.00082e-26,1.50000e-06
