"alpha.water","p_rgh","p","U:0","U:1","U:2","gradU:0","gradU:1","gradU:2","gradU:3","gradU:4","gradU:5","gradU:6","gradU:7","gradU:8","ParticleId","ParticleSourceId","InjectedPointId","InjectionStepId","ErrorCode","ParticleAge","Vorticity","Rotation","AngularVelocity","vtkValidPointMask","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2","Time"
1.00000e+00,9.46302e+04,9.46305e+04,1.36930e+00,-3.22905e-01,3.25261e-19,1.96569e+04,-7.16600e+03,3.55271e-15,-7.74220e+03,-8.87308e+03,7.10543e-15,3.55271e-15,7.10543e-15,-1.69146e+01,8,0,8,0,0,0.00000e+00,1.77588e-11,3.77286e-19,1.50914e-11,1,-7.00000e-05,3.00000e-05,0.00000e+00,5.00000e-08
1.00000e+00,6.91271e+04,6.91274e+04,1.37909e+00,-3.26313e-01,1.08420e-19,1.98699e+04,-7.26209e+03,-7.10543e-15,-7.84047e+03,-8.96748e+03,1.06581e-14,-7.10543e-15,1.06581e-14,-1.70945e+01,8,0,8,0,0,5.00000e-08,-8.84128e-12,3.63765e-19,-1.56323e-11,1,-6.99313e-05,2.99838e-05,8.13152e-27,1.00000e-07
1.00000e+00,6.00503e+04,6.00506e+04,1.38702e+00,-3.28836e-01,2.16840e-19,2.00318e+04,-7.33109e+03,-5.32907e-15,-7.91102e+03,-9.03939e+03,0.00000e+00,7.10543e-15,0.00000e+00,-1.72316e+01,8,0,8,0,0,1.00000e-07,-2.08145e-12,-1.05941e-19,-3.15595e-12,1,-6.98621e-05,2.99674e-05,5.19514e-27,1.50000e-07
1.00000e+00,5.54861e+04,5.54864e+04,1.39380e+00,-3.30921e-01,-5.42101e-19,2.01670e+04,-7.38911e+03,3.55271e-15,-7.97020e+03,-9.09916e+03,3.55271e-15,-1.77636e-14,3.55271e-15,-1.73455e+01,8,0,8,0,0,1.50000e-07,-2.27792e-12,-3.09600e-19,-4.99039e-12,1,-6.97926e-05,2.99509e-05,-2.25875e-27,2.00000e-07
1.00000e+00,5.27649e+04,5.27652e+04,1.39983e+00,-3.32756e-01,2.16840e-19,2.02873e+04,-7.44149e+03,0.00000e+00,-8.02348e+03,-9.15215e+03,7.10543e-15,3.55271e-15,7.10543e-15,-1.74465e+01,8,0,8,0,0,2.00000e-07,1.96211e-11,-1.70313e-19,1.05619e-11,1,-6.97228e-05,2.99343e-05,-9.03502e-28,2.50000e-07
1.00000e+00,5.09434e+04,5.09437e+04,1.40536e+00,-3.34435e-01,2.16840e-19,2.03985e+04,-7.49028e+03,5.32907e-15,-8.07302e+03,-9.20104e+03,-7.10543e-15,5.32907e-15,-7.10543e-15,-1.75397e+01,8,0,8,0,0,2.50000e-07,7.86581e-12,3.49859e-19,1.02450e-11,1,-6.96526e-05,2.99176e-05,-5.38099e-43,3.00000e-07
1.00000e+00,4.95853e+04,4.95856e+04,1.41053e+00,-3.36003e-01,5.42101e-20,2.05034e+04,-7.53641e+03,0.00000e+00,-8.11979e+03,-9.24725e+03,-1.77636e-15,0.00000e+00,-1.77636e-15,-1.76278e+01,8,0,8,0,0,3.00000e-07,1.07089e-11,6.27149e-19,8.46608e-13,1,-6.95823e-05,2.99009e-05,2.03288e-27,3.50000e-07
1.00000e+00,4.84909e+04,4.84911e+04,1.41543e+00,-3.37489e-01,5.96311e-19,2.06037e+04,-7.58039e+03,1.77636e-15,-8.16431e+03,-9.29155e+03,5.32907e-15,1.42109e-14,5.32907e-15,-1.77123e+01,8,0,8,0,0,3.50000e-07,-6.05625e-12,8.03991e-19,6.22707e-12,1,-6.95116e-05,2.98840e-05,-5.64689e-28,4.00000e-07
1.00000e+00,4.76110e+04,4.76113e+04,1.42011e+00,-3.38908e-01,-6.50521e-19,2.07004e+04,-7.62257e+03,-4.44089e-15,-8.20696e+03,-9.33431e+03,7.10543e-15,1.77636e-15,7.10543e-15,-1.77938e+01,8,0,8,0,0,4.00000e-07,5.89847e-12,1.18015e-18,8.81933e-12,1,-6.94407e-05,2.98671e-05,-4.17870e-27,4.50000e-07
1.00000e+00,4.69197e+04,4.69199e+04,1.42462e+00,-3.40272e-01,1.62630e-19,2.07941e+04,-7.66320e+03,-6.21725e-15,-8.24801e+03,-9.37583e+03,-1.06581e-14,8.88178e-16,-1.06581e-14,-1.78729e+01,8,0,8,0,0,4.50000e-07,-8.12326e-12,1.24935e-18,-6.05138e-12,1,-6.93696e-05,2.98501e-05,-4.51751e-27,5.00000e-07
1.00000e+00,4.63569e+04,4.63572e+04,1.42900e+00,-3.41590e-01,2.71051e-20,2.08853e+04,-7.70251e+03,-5.32907e-15,-8.28770e+03,-9.41633e+03,-8.88178e-15,-2.66454e-15,-8.88178e-15,-1.79501e+01,8,0,8,0,0,5.00000e-07,2.72656e-12,9.18772e-19,-7.17172e-12,1,-6.92983e-05,2.98331e-05,-5.08220e-27,5.50000e-07
1.00000e+00,4.58468e+04,4.58471e+04,1.43325e+00,-3.42868e-01,1.62630e-19,2.09743e+04,-7.74068e+03,1.28786e-14,-8.32620e+03,-9.45602e+03,-7.99361e-15,-9.76996e-15,-7.99361e-15,-1.80258e+01,8,0,8,0,0,5.50000e-07,-7.97471e-12,4.61480e-19,-1.11199e-11,1,-6.92267e-05,2.98160e-05,-5.98570e-27,6.00000e-07
1.00000e+00,4.54448e+04,4.54451e+04,1.43740e+00,-3.44111e-01,-4.06576e-19,2.10615e+04,-7.77782e+03,-9.54792e-15,-8.36362e+03,-9.49488e+03,-3.10862e-15,7.54952e-15,-3.10862e-15,-1.80999e+01,8,0,8,0,0,6.00000e-07,-1.27076e-11,4.51734e-20,-5.53233e-12,1,-6.91549e-05,2.97988e-05,-5.53395e-27,6.50000e-07
1.00000e+00,4.50713e+04,4.50716e+04,1.44146e+00,-3.45323e-01,-3.15096e-19,2.11470e+04,-7.81406e+03,-3.88578e-15,-8.40012e+03,-9.53306e+03,7.43849e-15,-1.04361e-14,7.43849e-15,-1.81727e+01,8,0,8,0,0,6.50000e-07,-7.08761e-12,-2.86758e-19,-7.74492e-12,1,-6.90830e-05,2.97816e-05,-4.02341e-27,7.00000e-07
1.00000e+00,4.47092e+04,4.47095e+04,1.44546e+00,-3.46514e-01,3.25261e-19,2.12318e+04,-7.84976e+03,3.55271e-15,-8.43613e+03,-9.57091e+03,0.00000e+00,-3.55271e-15,0.00000e+00,-1.82448e+01,8,0,8,0,0,7.00000e-07,3.13060e-12,-4.50440e-19,1.19766e-12,1,-6.90108e-05,2.97643e-05,-1.71701e-27,7.50000e-07
1.00000e+00,4.44536e+04,4.44539e+04,1.44942e+00,-3.47684e-01,1.08420e-19,2.13156e+04,-7.88490e+03,-7.10543e-15,-8.47152e+03,-9.60852e+03,1.06581e-14,0.00000e+00,1.06581e-14,-1.83165e+01,8,0,8,0,0,7.50000e-07,1.27310e-11,-2.08718e-19,8.47123e-12,1,-6.89384e-05,2.97469e-05,-3.52401e-27,8.00000e-07
1.00000e+00,4.42260e+04,4.42263e+04,1.45331e+00,-3.48831e-01,-5.42101e-19,2.13984e+04,-7.91939e+03,-7.10543e-15,-8.50625e+03,-9.64557e+03,1.06581e-14,7.10543e-15,1.06581e-14,-1.83871e+01,8,0,8,0,0,8.00000e-07,8.96533e-12,-5.77696e-20,-2.43331e-12,1,-6.88658e-05,2.97295e-05,-7.81564e-27,8.50000e-07
