"alpha.water","p_rgh","p","U:0","U:1","U:2","gradU:0","gradU:1","gradU:2","gradU:3","gradU:4","gradU:5","gradU:6","gradU:7","gradU:8","ParticleId","ParticleSourceId","InjectedPointId","InjectionStepId","ErrorCode","ParticleAge","Vorticity","Rotation","AngularVelocity","vtkValidPointMask","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2","Time"
9.99935e-01,6.09257e+04,6.09258e+04,3.88762e+00,-6.00414e-01,0.00000e+00,9.54982e+04,-1.81627e+04,0.00000e+00,-2.27963e+04,-4.73609e+04,0.00000e+00,1.42109e-14,0.00000e+00,-9.02830e+01,3,0,3,0,0,0.00000e+00,2.28361e-11,6.38201e-19,2.55280e-11,1,-2.00000e-05,1.25000e-05,0.00000e+00,5.00000e-08
9.99934e-01,4.41724e+04,4.41726e+04,3.94515e+00,-6.13169e-01,-1.08420e-18,9.75795e+04,-1.89810e+04,-7.10543e-15,-2.34762e+04,-4.83169e+04,1.42109e-14,0.00000e+00,1.42109e-14,-9.21055e+01,3,0,3,0,0,5.00000e-08,3.25612e-11,1.97828e-18,2.80750e-11,1,-1.98042e-05,1.24697e-05,-1.44560e-26,1.00000e-07
9.99934e-01,3.89144e+04,3.89145e+04,3.99281e+00,-6.23483e-01,-8.67362e-19,9.93270e+04,-1.96921e+04,1.77636e-14,-2.40410e+04,-4.91086e+04,-2.13163e-14,1.06581e-14,-2.13163e-14,-9.36146e+01,3,0,3,0,0,1.00000e-07,-2.71500e-11,3.00248e-18,1.28931e-11,1,-1.96057e-05,1.24387e-05,-1.26490e-26,1.50000e-07
9.99934e-01,3.64072e+04,3.64073e+04,4.03604e+00,-6.32615e-01,4.33681e-19,1.00880e+05,-2.02587e+04,1.42109e-14,-2.45983e+04,-4.97823e+04,2.84217e-14,2.84217e-14,2.84217e-14,-9.48989e+01,3,0,3,0,0,1.50000e-07,2.00778e-11,2.89954e-18,-1.70105e-11,1,-1.94050e-05,1.24073e-05,-3.00979e-26,2.00000e-07
9.99937e-01,3.49331e+04,3.49333e+04,4.07701e+00,-6.40979e-01,-2.16840e-19,1.02327e+05,-2.07505e+04,-1.42109e-14,-2.51815e+04,-5.04203e+04,-2.84217e-14,7.10543e-15,-2.84217e-14,-9.61152e+01,3,0,3,0,0,2.00000e-07,1.92631e-11,3.73886e-18,5.05832e-11,1,-1.92022e-05,1.23755e-05,-3.28084e-26,2.50000e-07
9.99936e-01,3.39395e+04,3.39396e+04,4.11631e+00,-6.48862e-01,-3.79471e-19,1.03706e+05,-2.11929e+04,5.32907e-15,-2.58042e+04,-5.10098e+04,6.39488e-14,1.77636e-14,6.39488e-14,-9.72389e+01,3,0,3,0,0,2.50000e-07,-5.43131e-11,4.43464e-18,-2.27519e-11,1,-1.89974e-05,1.23433e-05,-3.32602e-26,3.00000e-07
9.99933e-01,3.31690e+04,3.31691e+04,4.15465e+00,-6.56222e-01,1.08420e-18,1.05062e+05,-2.15536e+04,-2.13163e-14,-2.63860e+04,-5.16349e+04,0.00000e+00,-2.84217e-14,0.00000e+00,-9.84305e+01,3,0,3,0,0,3.00000e-07,-1.01869e-11,4.79710e-18,3.72501e-11,1,-1.87906e-05,1.23106e-05,-2.13452e-26,3.50000e-07
9.99934e-01,3.25025e+04,3.25026e+04,4.19230e+00,-6.63212e-01,4.33681e-19,1.06367e+05,-2.19378e+04,-2.13163e-14,-2.67648e+04,-5.22490e+04,1.42109e-14,2.84217e-14,1.42109e-14,-9.96011e+01,3,0,3,0,0,3.50000e-07,9.34284e-12,6.17538e-18,1.78811e-11,1,-1.85819e-05,1.22776e-05,-1.32137e-26,4.00000e-07
9.99928e-01,3.19452e+04,3.19453e+04,4.22926e+00,-6.69935e-01,-8.80914e-19,1.07651e+05,-2.22474e+04,1.46549e-14,-2.71396e+04,-5.28449e+04,-5.59552e-14,8.88178e-16,-5.59552e-14,-1.00737e+02,3,0,3,0,0,4.00000e-07,-1.18564e-11,7.09038e-18,1.87191e-11,1,-1.83714e-05,1.22443e-05,-1.43996e-26,4.50000e-07
9.99934e-01,3.14994e+04,3.14996e+04,4.26612e+00,-6.76301e-01,6.50521e-19,1.08943e+05,-2.24328e+04,-7.10543e-15,-2.75628e+04,-5.34740e+04,4.26326e-14,-7.10543e-15,4.26326e-14,-1.01936e+02,3,0,3,0,0,4.50000e-07,-2.84142e-11,7.07666e-18,-1.92679e-11,1,-1.81590e-05,1.22107e-05,-9.93852e-27,5.00000e-07
